treatment,subject_id,mask_id,decon_number,fit_factor,treatment_id,obs_id
Control,1,1,0,200,1,1
Control,1,1,1,200,1,2
Control,1,1,2,200,1,3
Control,1,1,3,200,1,4
Control,2,2,0,151,1,5
Control,2,2,1,151,1,6
Control,2,2,2,129,1,7
Control,2,2,3,77,1,8
Control,3,3,0,189,1,9
Control,3,3,1,200,1,10
Control,3,3,2,182,1,11
Control,3,3,3,175,1,12
Control,4,4,0,200,1,13
Control,4,4,1,132,1,14
Control,4,4,2,170,1,15
Control,4,4,3,200,1,16
Control,5,5,0,200,1,17
Control,5,5,1,200,1,18
Control,5,5,2,200,1,19
Control,5,5,3,200,1,20
Control,6,6,0,200,1,21
Control,6,6,1,121,1,22
Control,6,6,2,200,1,23
Control,6,6,3,200,1,24
Ethanol,7,7,0,189,2,25
Ethanol,7,7,1,198,2,26
Ethanol,7,7,2,200,2,27
Ethanol,7,7,3,175,2,28
Ethanol,8,8,0,158,2,29
Ethanol,8,8,1,154,2,30
Ethanol,8,8,2,54,2,31
Ethanol,8,8,3,41,2,32
Ethanol,9,9,0,200,2,33
Ethanol,9,9,1,200,2,34
Ethanol,9,9,2,124,2,35
Ethanol,9,9,3,200,2,36
Ethanol,10,10,0,182,2,37
Ethanol,10,10,1,161,2,38
Ethanol,10,10,2,95,2,39
Ethanol,10,10,3,30,2,40
Ethanol,11,11,0,200,2,41
Ethanol,11,11,1,178,2,42
Ethanol,11,11,2,130,2,43
Ethanol,11,11,3,64,2,44
Ethanol,12,12,0,184,2,45
Ethanol,12,12,1,141,2,46
Ethanol,12,12,2,163,2,47
Ethanol,12,12,3,70,2,48
Heat,9,13,0,165,3,49
Heat,9,13,1,167,3,50
Heat,9,13,2,200,3,51
Heat,9,13,3,153,3,52
Heat,11,14,0,115,3,53
Heat,11,14,1,193,3,54
Heat,11,14,2,149,3,55
Heat,11,14,3,200,3,56
Heat,6,15,0,200,3,57
Heat,6,15,1,200,3,58
Heat,6,15,2,104,3,59
Heat,6,15,3,121,3,60
Heat,13,16,0,170,3,61
Heat,13,16,1,142,3,62
Heat,13,16,2,200,3,63
Heat,13,16,3,29,3,64
Heat,14,17,0,163,3,65
Heat,14,17,1,181,3,66
Heat,14,17,2,171,3,67
Heat,14,17,3,126,3,68
Heat,7,18,0,200,3,69
Heat,7,18,1,109,3,70
Heat,7,18,2,151,3,71
Heat,7,18,3,27,3,72
VHP,8,19,0,200,5,73
VHP,8,19,1,163,5,74
VHP,8,19,2,200,5,75
VHP,8,19,3,161,5,76
VHP,15,20,0,187,5,77
VHP,15,20,1,110,5,78
VHP,15,20,2,200,5,79
VHP,15,20,3,102,5,80
VHP,4,21,0,120,5,81
VHP,4,21,1,196,5,82
VHP,4,21,2,172,5,83
VHP,4,21,3,129,5,84
VHP,2,22,0,200,5,85
VHP,2,22,1,200,5,86
VHP,2,22,2,200,5,87
VHP,2,22,3,200,5,88
VHP,16,23,0,200,5,89
VHP,16,23,1,200,5,90
VHP,16,23,2,200,5,91
VHP,16,23,3,200,5,92
VHP,17,24,0,200,5,93
VHP,17,24,1,200,5,94
VHP,17,24,2,182,5,95
VHP,17,24,3,200,5,96
UV,10,25,0,129,4,97
UV,10,25,1,123,4,98
UV,10,25,2,100,4,99
UV,10,25,3,60,4,100
UV,18,26,0,124,4,101
UV,18,26,1,189,4,102
UV,18,26,2,200,4,103
UV,18,26,3,163,4,104
UV,3,27,0,179,4,105
UV,3,27,1,200,4,106
UV,3,27,2,187,4,107
UV,3,27,3,81,4,108
UV,5,28,0,200,4,109
UV,5,28,1,200,4,110
UV,5,28,2,200,4,111
UV,5,28,3,200,4,112
UV,1,29,0,200,4,113
UV,1,29,1,200,4,114
UV,1,29,2,200,4,115
UV,1,29,3,200,4,116
UV,9,30,0,200,4,117
UV,9,30,1,200,4,118
UV,9,30,2,200,4,119
UV,9,30,3,191,4,120
